Action set: env action space (minimal set unavailable) (18 actions)
Logging to logs/neural_Pong_seed0_dec1000000_alpha0p01_ts20251209-173241.txt
--- Configuration ---
ROM: Pong
Total Features: 52021 (conv=52000, extra=21)
Initial Energy:  520.2100
WARNING: Unsafe initialization! C++ Kill Switch will trigger.
---------------------
Ep 0: reward=-21.0 mean_last_100=-21.00 step=764
Ep 1: reward=-21.0 mean_last_100=-21.00 step=1528
Ep 2: reward=-21.0 mean_last_100=-21.00 step=2292
Ep 3: reward=-21.0 mean_last_100=-21.00 step=3074
Ep 4: reward=-21.0 mean_last_100=-21.00 step=3838
Ep 5: reward=-21.0 mean_last_100=-21.00 step=4602
Ep 6: reward=-21.0 mean_last_100=-21.00 step=5427
Ep 7: reward=-20.0 mean_last_100=-20.88 step=6269
Ep 8: reward=-20.0 mean_last_100=-20.78 step=7171
Ep 9: reward=-21.0 mean_last_100=-20.80 step=8177
Ep 10: reward=-20.0 mean_last_100=-20.73 step=9066
Ep 11: reward=-21.0 mean_last_100=-20.75 step=10014
Ep 12: reward=-21.0 mean_last_100=-20.77 step=10962
Ep 13: reward=-21.0 mean_last_100=-20.79 step=12018
Ep 14: reward=-21.0 mean_last_100=-20.80 step=12870
Ep 15: reward=-21.0 mean_last_100=-20.81 step=13722
Ep 16: reward=-21.0 mean_last_100=-20.82 step=14622
Ep 17: reward=-21.0 mean_last_100=-20.83 step=15414
Ep 18: reward=-21.0 mean_last_100=-20.84 step=16240
Ep 19: reward=-20.0 mean_last_100=-20.80 step=17083
Ep 20: reward=-21.0 mean_last_100=-20.81 step=18106
Ep 21: reward=-21.0 mean_last_100=-20.82 step=19037
Ep 22: reward=-20.0 mean_last_100=-20.78 step=20139
Ep 23: reward=-20.0 mean_last_100=-20.75 step=21155
Ep 24: reward=-21.0 mean_last_100=-20.76 step=22128
Ep 25: reward=-20.0 mean_last_100=-20.73 step=23086
Ep 26: reward=-21.0 mean_last_100=-20.74 step=23988
Ep 27: reward=-20.0 mean_last_100=-20.71 step=24858
Ep 28: reward=-21.0 mean_last_100=-20.72 step=25622
Ep 29: reward=-21.0 mean_last_100=-20.73 step=26446
Ep 30: reward=-21.0 mean_last_100=-20.74 step=27298
Ep 31: reward=-21.0 mean_last_100=-20.75 step=28092
Ep 32: reward=-20.0 mean_last_100=-20.73 step=28994
Ep 33: reward=-21.0 mean_last_100=-20.74 step=29758
Ep 34: reward=-21.0 mean_last_100=-20.74 step=30582
Ep 35: reward=-21.0 mean_last_100=-20.75 step=31494
Ep 36: reward=-20.0 mean_last_100=-20.73 step=32524
Ep 37: reward=-20.0 mean_last_100=-20.71 step=33508
Ep 38: reward=-21.0 mean_last_100=-20.72 step=34395
Ep 39: reward=-21.0 mean_last_100=-20.73 step=35281
Ep 40: reward=-20.0 mean_last_100=-20.71 step=36140
Ep 41: reward=-20.0 mean_last_100=-20.69 step=36982
Ep 42: reward=-20.0 mean_last_100=-20.67 step=37923
Ep 43: reward=-20.0 mean_last_100=-20.66 step=38845
Ep 44: reward=-21.0 mean_last_100=-20.67 step=39807
Ep 45: reward=-21.0 mean_last_100=-20.67 step=40631
Ep 46: reward=-21.0 mean_last_100=-20.68 step=41484
Ep 47: reward=-20.0 mean_last_100=-20.67 step=42384
Ep 48: reward=-21.0 mean_last_100=-20.67 step=43148
Ep 49: reward=-21.0 mean_last_100=-20.68 step=43942
Ep 50: reward=-21.0 mean_last_100=-20.69 step=44885
Ep 51: reward=-21.0 mean_last_100=-20.69 step=45711
Ep 52: reward=-21.0 mean_last_100=-20.70 step=46624
Ep 53: reward=-21.0 mean_last_100=-20.70 step=47436
Ep 54: reward=-21.0 mean_last_100=-20.71 step=48382
Ep 55: reward=-20.0 mean_last_100=-20.70 step=49303
